Entry	Entry name	Protein names	Domain [FT]
Q6ZSK4	NTAS1_HUMAN	Putative uncharacterized protein NTM-AS1 (NTM antisense RNA 1) (NTM antisense gene protein 1)	
Q9Y263	PLAP_HUMAN	Phospholipase A-2-activating protein (PLA2P) (PLAP)	DOMAIN 366..465;  /note="PFU";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00727"; DOMAIN 533..794;  /note="PUL";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00729"
Q96RE7	NACC1_HUMAN	Nucleus accumbens-associated protein 1 (NAC-1) (BTB/POZ domain-containing protein 14B)	DOMAIN 30..94;  /note="BTB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00037"; DOMAIN 374..471;  /note="BEN";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00784"
O43312	MTSS1_HUMAN	Protein MTSS 1 (Metastasis suppressor YGL-1) (Metastasis suppressor protein 1) (Missing in metastasis protein)	DOMAIN 1..250;  /note="IMD";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00668"; DOMAIN 727..744;  /note="WH2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00406"
Q9NP80	PLPL8_HUMAN	Calcium-independent phospholipase A2-gamma (EC 3.1.1.5) (Intracellular membrane-associated calcium-independent phospholipase A2 gamma) (iPLA2-gamma) (PNPLA-gamma) (Patatin-like phospholipase domain-containing protein 8) (iPLA2-2)	DOMAIN 445..640;  /note="PNPLA";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01161"
Q15319	PO4F3_HUMAN	POU domain, class 4, transcription factor 3 (Brain-specific homeobox/POU domain protein 3C) (Brain-3C) (Brn-3C)	DOMAIN 179..256;  /note="POU-specific";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00530"
P08134	RHOC_HUMAN	Rho-related GTP-binding protein RhoC (Rho cDNA clone 9) (h9)	
Q5VZM2	RRAGB_HUMAN	Ras-related GTP-binding protein B (Rag B) (RagB)	
P0DPB5	RPC22_HUMAN	Protein POLR1D, isoform 2	
Q9BT43	RPC7L_HUMAN	DNA-directed RNA polymerase III subunit RPC7-like (RNA polymerase III subunit C7-like) (DNA-directed RNA polymerase III subunit G-like) (RNA polymerase III 32 kDa beta subunit) (RPC32-beta)	
P51157	RAB28_HUMAN	Ras-related protein Rab-28	
P20338	RAB4A_HUMAN	Ras-related protein Rab-4A	
P61020	RAB5B_HUMAN	Ras-related protein Rab-5B	
Q9BRS2	RIOK1_HUMAN	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.3.-) (RIO kinase 1)	DOMAIN 180..479;  /note="Protein kinase"
Q05823	RN5A_HUMAN	2-5A-dependent ribonuclease (2-5A-dependent RNase) (EC 3.1.26.-) (Ribonuclease 4) (Ribonuclease L) (RNase L)	DOMAIN 365..586;  /note="Protein kinase";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 589..723;  /note="KEN";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00725"
P51149	RAB7A_HUMAN	Ras-related protein Rab-7a	
O14966	RAB7L_HUMAN	Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29)	
Q15311	RBP1_HUMAN	RalA-binding protein 1 (RalBP1) (76 kDa Ral-interacting protein) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (Ral-interacting protein 1)	DOMAIN 192..380;  /note="Rho-GAP";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00172"
Q6GMV3	PTRD1_HUMAN	Putative peptidyl-tRNA hydrolase PTRHD1 (EC 3.1.1.29) (Peptidyl-tRNA hydrolase domain-containing protein 1)	
P0DP57	SLUR2_HUMAN	Secreted Ly-6/uPAR domain-containing protein 2 (Secreted LY6/PLAUR domain-containing protein 2) (Secreted Ly-6/uPAR-related protein 2) (SLURP-2)	DOMAIN 25..95;  /note="UPAR/Ly6";  /evidence="ECO:0000255"
Q86UU9	TKN4_HUMAN	Tachykinin-4 (Preprotachykinin-C) (PPT-C) [Cleaved into: Endokinin-A (EKA); Endokinin-A/B (EKA/B); Endokinin-C (EKC)]	
Q96MN5	TEAN2_HUMAN	Transcription elongation factor A N-terminal and central domain-containing protein 2	DOMAIN 40..114;  /note="TFIIS N-terminal";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00649"; DOMAIN 131..208;  /note="TFIIS central";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00651"
Q9NR97	TLR8_HUMAN	Toll-like receptor 8 (CD antigen CD288)	DOMAIN 772..824;  /note="LRRCT"; DOMAIN 878..1025;  /note="TIR";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00204"
O75443	TECTA_HUMAN	Alpha-tectorin	DOMAIN 98..252;  /note="NIDO";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00570"; DOMAIN 260..314;  /note="VWFC"; DOMAIN 321..540;  /note="VWFD 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00580"; DOMAIN 597..650;  /note="TIL 1"; DOMAIN 712..929;  /note="VWFD 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00580"; DOMAIN 984..1036;  /note="TIL 2"; DOMAIN 1099..1317;  /note="VWFD 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00580"; DOMAIN 1372..1425;  /note="TIL 3"; DOMAIN 1486..1694;  /note="VWFD 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00580"; DOMAIN 1805..2059;  /note="ZP";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00375"
Q8TBZ6	TM10A_HUMAN	tRNA methyltransferase 10 homolog A (EC 2.1.1.221) (RNA (guanine-9-)-methyltransferase domain-containing protein 2) (tRNA (guanine(9)-N(1))-methyltransferase TRMT10A)	DOMAIN 89..279;  /note="SAM-dependent MTase TRM10-type";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01012"
Q96IK0	TM101_HUMAN	Transmembrane protein 101 (Putative NF-kappa-B-activating protein 130)	
Q6ZWK6	TM11F_HUMAN	Transmembrane protease serine 11F (EC 3.4.21.-) (Airway trypsin-like protease 4)	DOMAIN 57..175;  /note="SEA";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00188"; DOMAIN 206..437;  /note="Peptidase S1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00274"
Q8IYU4	UBQLN_HUMAN	Ubiquilin-like protein	DOMAIN 31..105;  /note="Ubiquitin-like";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00214"
Q9NVE5	UBP40_HUMAN	Ubiquitin carboxyl-terminal hydrolase 40 (EC 3.4.19.12) (Deubiquitinating enzyme 40) (Ubiquitin thioesterase 40) (Ubiquitin-specific-processing protease 40)	DOMAIN 41..482;  /note="USP"
Q6A555	TXND8_HUMAN	Thioredoxin domain-containing protein 8 (Spermatid-specific thioredoxin-3) (Sptrx-3) (Thioredoxin-6)	DOMAIN 1..92;  /note="Thioredoxin"
Q14146	URB2_HUMAN	Unhealthy ribosome biogenesis protein 2 homolog	
Q96K62	ZBT45_HUMAN	Zinc finger and BTB domain-containing protein 45 (Zinc finger protein 499)	DOMAIN 33..96;  /note="BTB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00037"
Q9BRT2	UQCC2_HUMAN	Ubiquinol-cytochrome-c reductase complex assembly factor 2 (Breast cancer-associated protein SGA-81M) (Mitochondrial nucleoid factor 1) (Mitochondrial protein M19)	
Q9UKY1	ZHX1_HUMAN	Zinc fingers and homeoboxes protein 1	
Q9Y2L8	ZKSC5_HUMAN	Zinc finger protein with KRAB and SCAN domains 5 (Zinc finger protein 95 homolog) (Zfp-95)	DOMAIN 51..132;  /note="SCAN box";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00187"; DOMAIN 218..291;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
Q9GZS3	WDR61_HUMAN	WD repeat-containing protein 61 (Meiotic recombination REC14 protein homolog) (SKI8 homolog) (Ski8) [Cleaved into: WD repeat-containing protein 61, N-terminally processed]	
Q9UJW8	ZN180_HUMAN	Zinc finger protein 180 (HHZ168)	DOMAIN 72..145;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
Q2M3X9	ZN674_HUMAN	Zinc finger protein 674	DOMAIN 8..79;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
Q96PQ6	ZN317_HUMAN	Zinc finger protein 317	DOMAIN 57..128;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
Q9Y3M9	ZN337_HUMAN	Zinc finger protein 337	DOMAIN 12..83;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
Q8NE65	ZN738_HUMAN	Protein ZNF738	DOMAIN 35..106;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
B7Z6K7	ZN814_HUMAN	Zinc finger protein 814	DOMAIN 15..91;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
Q14585	ZN345_HUMAN	Zinc finger protein 345 (Zinc finger protein HZF10)	
Q9NQX6	ZN331_HUMAN	Zinc finger protein 331 (C2H2-like zinc finger protein rearranged in thyroid adenomas) (Zinc finger protein 361) (Zinc finger protein 463)	DOMAIN 6..78;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
P17036	ZNF3_HUMAN	Zinc finger protein 3 (Zinc finger protein HF.12) (Zinc finger protein HZF3.1) (Zinc finger protein KOX25)	DOMAIN 51..123;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
P35443	TSP4_HUMAN	Thrombospondin-4	DOMAIN 27..192;  /note="Laminin G-like"; DOMAIN 286..325;  /note="EGF-like 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 326..363;  /note="EGF-like 2; calcium-binding";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 379..419;  /note="EGF-like 3; calcium-binding";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 420..462;  /note="EGF-like 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 731..945;  /note="TSP C-terminal";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00635"
O95785	WIZ_HUMAN	Protein Wiz (Widely-interspaced zinc finger-containing protein) (Zinc finger protein 803)	
O95859	TSN12_HUMAN	Tetraspanin-12 (Tspan-12) (Tetraspan NET-2) (Transmembrane 4 superfamily member 12)	
Q96N77	ZN641_HUMAN	Zinc finger protein 641	DOMAIN 109..181;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
P35442	TSP2_HUMAN	Thrombospondin-2	DOMAIN 19..215;  /note="Laminin G-like"; DOMAIN 318..375;  /note="VWFC";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00220"; DOMAIN 381..431;  /note="TSP type-1 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00210"; DOMAIN 437..492;  /note="TSP type-1 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00210"; DOMAIN 494..549;  /note="TSP type-1 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00210"; DOMAIN 549..589;  /note="EGF-like 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 648..692;  /note="EGF-like 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 960..1172;  /note="TSP C-terminal";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00635"
Q6ZS27	ZN662_HUMAN	Zinc finger protein 662	DOMAIN 1..44;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
Q96K58	ZN668_HUMAN	Zinc finger protein 668	
P17024	ZNF20_HUMAN	Zinc finger protein 20 (Zinc finger protein KOX13)	DOMAIN 7..78;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
P98168	ZXDA_HUMAN	Zinc finger X-linked protein ZXDA	
Q7Z3U7	MON2_HUMAN	Protein MON2 homolog (Protein SF21)	
Q8NAT1	PMGT2_HUMAN	Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2 (POMGnT2) (EC 2.4.1.312) (Extracellular O-linked N-acetylglucosamine transferase-like) (Glycosyltransferase-like domain-containing protein 2)	DOMAIN 488..580;  /note="Fibronectin type-III";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"
Q9Y3P9	RBGP1_HUMAN	Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA)	DOMAIN 142..298;  /note="PID";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00148"; DOMAIN 566..752;  /note="Rab-GAP TBC";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00163"
Q13472	TOP3A_HUMAN	DNA topoisomerase 3-alpha (EC 5.6.2.1) (DNA topoisomerase III alpha)	DOMAIN 35..179;  /note="Toprim";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00995"
Q99952	PTN18_HUMAN	Tyrosine-protein phosphatase non-receptor type 18 (EC 3.1.3.48) (Brain-derived phosphatase)	DOMAIN 26..291;  /note="Tyrosine-protein phosphatase";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00160"
Q96T37	RBM15_HUMAN	RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)	DOMAIN 170..252;  /note="RRM 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 374..451;  /note="RRM 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 455..529;  /note="RRM 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 777..956;  /note="SPOC";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00249"
P43007	SATT_HUMAN	Neutral amino acid transporter A (Alanine/serine/cysteine/threonine transporter 1) (ASCT-1) (SATT) (Solute carrier family 1 member 4)	
A3KN83	SBNO1_HUMAN	Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3)	
Q96IW7	SC22A_HUMAN	Vesicle-trafficking protein SEC22a (SEC22 vesicle-trafficking protein homolog A) (SEC22 vesicle-trafficking protein-like 2)	DOMAIN 8..119;  /note="Longin";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00231"
P63220	RS21_HUMAN	40S ribosomal protein S21 (Small ribosomal subunit protein eS21)	
O15273	TELT_HUMAN	Telethonin (Titin cap protein)	
Q8N616	TM148_HUMAN	Putative uncharacterized protein encoded by LINC00311	
Q9BSA9	TM175_HUMAN	Endosomal/lysosomal potassium channel TMEM175 (Transmembrane protein 175) (hTMEM175)	
Q86T26	TM11B_HUMAN	Transmembrane protease serine 11B (EC 3.4.21.-) (Airway trypsin-like protease 5)	DOMAIN 43..160;  /note="SEA";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00188"; DOMAIN 185..415;  /note="Peptidase S1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00274"
Q6NUQ4	TM214_HUMAN	Transmembrane protein 214	
Q9H0V1	TM168_HUMAN	Transmembrane protein 168	
Q66K66	TM198_HUMAN	Transmembrane protein 198	
Q96EC8	YIPF6_HUMAN	Protein YIPF6 (YIP1 family member 6)	
Q9HAV4	XPO5_HUMAN	Exportin-5 (Exp5) (Ran-binding protein 21)	
Q6ZRP5	YD019_HUMAN	Putative uncharacterized protein FLJ46204	
Q499Y3	YJ016_HUMAN	Putative uncharacterized protein C10orf88-like	
Q495M9	USH1G_HUMAN	Usher syndrome type-1G protein (Scaffold protein containing ankyrin repeats and SAM domain)	DOMAIN 385..447;  /note="SAM"
P18887	XRCC1_HUMAN	DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1)	DOMAIN 315..403;  /note="BRCT 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00033"; DOMAIN 538..629;  /note="BRCT 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00033"
O00507	USP9Y_HUMAN	Probable ubiquitin carboxyl-terminal hydrolase FAF-Y (EC 3.4.19.12) (Deubiquitinating enzyme FAF-Y) (Fat facets protein-related, Y-linked) (Ubiquitin thioesterase FAF-Y) (Ubiquitin-specific protease 9, Y chromosome) (Ubiquitin-specific-processing protease FAF-Y)	DOMAIN 1559..1958;  /note="USP"
A0A0B4J280	TVA40_HUMAN	T cell receptor alpha variable 40	DOMAIN 20..>105;  /note="Ig-like";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00114"
A0A0A6YYJ7	TVA83_HUMAN	T cell receptor alpha variable 8-3	DOMAIN 21..>113;  /note="Ig-like";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00114"
P11441	UBL4A_HUMAN	Ubiquitin-like protein 4A (Ubiquitin-like protein GDX)	DOMAIN 1..76;  /note="Ubiquitin-like";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00214"
Q8IWV8	UBR2_HUMAN	E3 ubiquitin-protein ligase UBR2 (EC 2.3.2.27) (N-recognin-2) (RING-type E3 ubiquitin transferase UBR2) (Ubiquitin-protein ligase E3-alpha-2) (Ubiquitin-protein ligase E3-alpha-II)	
Q7RTX1	TS1R1_HUMAN	Taste receptor type 1 member 1 (G-protein coupled receptor 70)	
Q9UNX4	WDR3_HUMAN	WD repeat-containing protein 3	
P57081	WDR4_HUMAN	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4 (Protein Wuho homolog) (hWH) (WD repeat-containing protein 4)	
P58317	ZN121_HUMAN	Zinc finger protein 121 (Zinc finger protein 20)	
Q8WVS4	WDR60_HUMAN	WD repeat-containing protein 60	
Q9BZM6	ULBP1_HUMAN	UL16-binding protein 1 (ALCAN-beta) (NKG2D ligand 1) (N2DL-1) (NKG2DL1) (Retinoic acid early transcript 1I)	
O75820	ZN189_HUMAN	Zinc finger protein 189	DOMAIN 14..89;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
Q9UQR1	ZN148_HUMAN	Zinc finger protein 148 (Transcription factor ZBP-89) (Zinc finger DNA-binding protein 89)	
